event_id,team,venue_id,park_name_regex,start_date,end_date,era_suffix,event_type,notes,source_primary,source_secondary
ATL_2017_SUNTRUST,ATL,,,2017-03-01,,suntrust,park_move,"Braves opened SunTrust Park for the 2017 season","https://www.mlb.com/press-release/braves-to-host-yankees-in-exhibition-game-to-open-play-at-suntrust-par-200242862","https://www.espn.com/mlb/story/_/id/16624703/atlanta-braves-set-open-ballpark-april-13-vs-san-diego-padres"
MIA_2016_LOANDEPOT_CF_IN,MIA,4169,,2016-03-01,2019-12-31,cf_in_407,dimension_change,"Center field moved in from 418→407 ft; wall heights reduced from 11.5 ft to 7–8.5 ft across outfield. Net effect: more hitter-friendly. Park was called Marlins Park 2012-2020; renamed loanDepot park 2021 (naming rights only, same venue_id=4169).","https://www.mlb.com/marlins/","https://www.mlb.com/news"
MIA_2020_ADDITIONAL_MODS,MIA,4169,,2020-03-01,,fence_reduced,dimension_change,"Additional fence modifications, further reducing outfield distances. Net effect: continued hitter-friendly adjustments. Venue renamed loanDepot park in 2021 (same venue_id=4169).","https://www.mlb.com/marlins/","https://www.mlb.com/news"
SFG_2020_ORACLE_IN,SFG,,Oracle Park,2020-03-01,,bullpen_center,dimension_change,"LCF 404→399 ft, CF 399→391 ft, RCF (Triples Alley) 421→415 ft. Driven by bullpen relocation to center field. Net effect: modestly more hitter-friendly.","https://www.mlb.com/giants/","https://www.mlb.com/news"
BAL_2022_WALL_DEEP,BAL,,Oriole Park at Camden Yards,2022-03-01,2024-12-31,wall_deep,dimension_change,"LF pushed back to 384 ft, LCF to 398 ft; wall height raised from 7→13.5 ft ('Walltimore'). Net effect: strongly pitcher-friendly — largest single park dimension change of this era.","https://www.espn.com/mlb/story/_/id/33050396/baltimore-orioles-move-back-left-field-wall-camden-yards-say-no-longer-outlier-ballparks","https://www.mlb.com/orioles/news/orioles-camden-yards-left-field-wall-modifications"
BAL_2025_WALL_MEDIUM,BAL,,Oriole Park at Camden Yards,2025-03-01,,wall_medium,dimension_change,"Partial reversal — LF/LCF brought back in to 374–376 ft range; wall lowered from 13→8 ft. Net effect: intermediate between original and Walltimore configurations.","https://www.mlb.com/orioles/news/orioles-camden-yards-left-field-wall-modifications","https://www.cbsnews.com/baltimore/news/left-field-wall-at-camden-yards-to-be-moved-closer-to-home-plate/"
DET_2023_CF_IN,DET,,Comerica Park,2023-03-01,,cf_in_412,dimension_change,"CF moved in from 422→412 ft; RCF wall dropped from 13→7 ft, RF wall from 8.5→7 ft. Net effect: more hitter-friendly, though park remains pitcher-leaning overall.","https://www.mlb.com/tigers/","https://www.mlb.com/news"
NYM_2023_RF_IN,NYM,,Citi Field,2023-03-01,,rf_in_362,dimension_change,"RF fence moved in 8.5 ft (from ~370 ft). Net effect: modestly more hitter-friendly, primarily benefits left-handed power hitters.","https://www.mlb.com/mets/","https://www.mlb.com/news"
TOR_2021_DUNEDIN,TOR,,,2021-03-01,2021-05-31,dunedin,temporary_home,"Blue Jays opened 2021 home schedule at TD Ballpark in Dunedin","https://www.mlb.com/press-release/press-release-blue-jays-to-play-first-2-homestands-in-florida","https://www.mlb.com/press-release/press-release-update-on-blue-jays-home-game-times-and-location"
TOR_2021_BUFFALO,TOR,,,2021-06-01,2021-07-29,buffalo,temporary_home,"Blue Jays moved home games to Sahlen Field on June 1, 2021 and returned to Rogers Centre July 30","https://www.mlb.com/press-release/press-release-blue-jays-to-move-home-location-to-sahlen-field-beginning-june-1","https://www.mlb.com/news/blue-jays-returning-to-toronto-on-july-30"
TBR_2025_STEINBRENNER,TBR,,,2025-03-01,2025-12-31,steinbrenner,temporary_home,"Rays played the 2025 season at George M. Steinbrenner Field","https://www.mlb.com/press-release/press-release-tampa-bay-rays-to-play-2025-season-at-george-m-steinbrenner-field-in-tampa","https://www.mlb.com/rays/news/rays-home-playoff-games-george-m-steinbrenner-field"
TBR_2026_TROP_RETURN,TBR,,,2026-03-01,,trop_return,return_home,"Rays announced plans to return to Tropicana Field for 2026","https://www.mlb.com/rays/news/rays-state-desire-to-be-back-at-tropicana-field-for-2026","https://www.mlb.com/rays/news/rays-announce-tropicana-field-upgrades-ticket-information-2026/"
TEX_2021_GLOBE_LIFE,TEX,,,2021-03-01,,globe_life,park_move,"Rangers regular-season home park switched to Globe Life Field in 2020 (2020 excluded in this model)","https://www.mlb.com/press-release/texas-rangers-announce-2020-schedule","https://www.mlb.com/news/rangers-original-2020-schedule-released"
ATH_2025_SUTTER_HEALTH,ATH,,,2025-03-01,2027-12-31,sutter_health,temporary_home,"Athletics moved interim home games to Sutter Health Park for 2025-2027","https://www.mlb.com/press-release/press-release-sutter-health-park-in-west-sacramento-to-host-a-s-for-2025-2027-seasons","https://www.mlb.com/news/a-s-announce-2025-27-stadium-plans"
KCR_2026_WALLS_IN,KCR,,Kauffman Stadium,2026-03-01,,walls_in,dimension_change,"Outfield walls moved in and lowered for 2026","https://www.mlb.com/press-release/royals-announce-new-dimensions-for-kauffman-stadium","https://www.mlb.com/royals/news/royals-moving-outfield-walls-at-kauffman-stadium"
ARI_2018_HUMIDOR,ARI,,Chase Field,2018-03-01,,humidor,environmental_change,"Introduced humidor for baseballs starting 2018 (joining Coors Field). Affects ball flight/carry without physical dimension changes. NOTE: May overlap with ball drag coefficient adjustments in model — verify if drag coef already accounts for humidor effect.","https://www.mlb.com/diamondbacks/","https://www.mlb.com/news"
CLE_2024_SEATING_REMOVAL,CLE,,Progressive Field,2024-03-01,,wind_tunnel,structural_change,"Removed upper-deck outfield seating ahead of 2024 season, creating wind tunnel effects that boosted home run rates. Not a formal dimension change, but meaningful park factor shift.","https://www.mlb.com/guardians/","https://www.mlb.com/news"
TOR_2023_OF_RENOVATION,TOR,,Rogers Centre,2023-03-01,,of_renovation,dimension_change,"Phase 1 renovation reshaped the outfield for 2023: LCF 375→368 ft, RCF 375→359 ft; wall heights changed from uniform 10 ft to asymmetric 8 ft (CF) through 14 ft 4 in (RCF and LF line). Foul lines and straightaway CF distances unchanged. Net effect: shorter alleys but taller walls.","https://www.mlb.com/news/rogers-centre-s-new-outfield-dimensions-announced","https://www.mlbtraderumors.com/2023/01/blue-jays-announce-rogers-centres-new-outfield-dimensions.html"
